Molecule ChEMBL ID;Molecule Name;Molecule Max Phase;Molecular Weight;#RO5 Violations;AlogP;Compound Key;Smiles;Standard Type;Standard Relation;Standard Value;Standard Units;pChEMBL Value;Data Validity Comment;Comment;Uo Units;Ligand Efficiency BEI;Ligand Efficiency LE;Ligand Efficiency LLE;Ligand Efficiency SEI;Potential Duplicate;Assay ChEMBL ID;Assay Description;Assay Type;BAO Format ID;BAO Label;Assay Organism;Assay Tissue ChEMBL ID;Assay Tissue Name;Assay Cell Type;Assay Subcellular Fraction;Assay Parameters;Assay Variant Accession;Assay Variant Mutation;Target ChEMBL ID;Target Name;Target Organism;Target Type;Document ChEMBL ID;Source ID;Source Description;Document Journal;Document Year;Cell ChEMBL ID;Properties
CHEMBL4633860;;0;473.96;0;4.26;26;Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OCC1(F)CNC1;EC50;'=';320.0;nM;6.50;;;UO_0000065;13.70;0.28;2.23;9.08;0;CHEMBL4605954;Inhibition of USP7 in human RKO cells transfected with p53 luciferase reporter vector assessed as increase in p53-dependent luciferase activity measured after 18 hrs by BrightGlo luciferase assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;RKO;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4602719;1;Scientific Literature;J Med Chem;2020;CHEMBL3307731;
CHEMBL4644317;;0;484.02;0;4.95;28;Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1O[C@@H]1CCNC[C@@H]1C;EC50;'=';150.0;nM;6.82;;;UO_0000065;14.10;0.28;1.87;9.54;0;CHEMBL4605954;Inhibition of USP7 in human RKO cells transfected with p53 luciferase reporter vector assessed as increase in p53-dependent luciferase activity measured after 18 hrs by BrightGlo luciferase assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;RKO;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4602719;1;Scientific Literature;J Med Chem;2020;CHEMBL3307731;
CHEMBL4097744;;0;245.28;0;1.91;3;Oc1ccc(-c2nc(C3CCNCC3)no2)cc1;Kd;'=';12000.0;nM;4.92;;;UO_0000065;20.06;0.37;3.01;6.91;0;CHEMBL4033114;Binding affinity to human His-tagged and [15N-13C-2H], delta1[13CH3]-Ile, [13CH3]-Leu/Val and [13CH3]-Met-labeled USP7-catalytic domain (208 to 554 residues) expressed in Escherichia coli Rosetta 2 (DE3) cells by 2D[1H-15N]-based TROSY spectrum NMR analysis;B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4028910;1;Scientific Literature;J Med Chem;2017;None;
CHEMBL4635160;;0;524.09;2;5.44;30;Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1O[C@@H]1CCNC[C@@H]1C;IC50;'=';0.18;nM;9.74;;;UO_0000065;18.59;0.37;4.30;13.62;0;CHEMBL4605951;Inhibition of recombinant full length USP7 (unknown origin) using ubiquintin-rhodamine as substrate preincubated for 30 mins followed by substrate addition measured after 1 hr by fluorescence-based Envision plate reader assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4602719;1;Scientific Literature;J Med Chem;2020;None;
CHEMBL2159498;;0;315.32;0;4.29;P22077;CC(=O)c1cc([N+](=O)[O-])c(Sc2ccc(F)cc2F)s1;IC50;'=';19330.0;nM;4.71;;;UO_0000065;14.95;0.32;0.42;7.83;0;CHEMBL4001936;Inhibition of USP7 (unknown origin) using Ub-Rho as substrate preincubated for 30 mins followed by substrate addition and subsequent incubation in dark for 3 hrs by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4000237;1;Scientific Literature;Bioorg Med Chem Lett;2017;None;
CHEMBL4280334;;0;442.56;0;1.73;41;C[C@H](CC(=O)N1CCC(O)(Cn2cnc(OCCN(C)C)cc2=O)CC1)c1ccccc1;IC50;'=';7200.0;nM;5.14;;;UO_0000065;11.62;0.22;3.41;5.85;0;CHEMBL4255847;Inhibition of USP7 (unknown origin) by biochemical assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4251701;1;Scientific Literature;ACS Med Chem Lett;2018;None;
CHEMBL2432028;;0;152.18;0;0.98;1;O=c1[nH]cnc2sccc12;Kd;'=';471000.0;nM;;Outside typical range;;UO_0000065;;;;;0;CHEMBL4255850;Binding affinity to recombinant human N-terminal His6-tagged USP7 catalytic domain (213 to 548 residues) expressed in baculovirus infected Sf21 insect cells after 60 secs by SPR analysis;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4251701;1;Scientific Literature;ACS Med Chem Lett;2018;None;
CHEMBL4789097;;0;491.52;0;2.54;L37;COC(=O)c1ccc(CN2CCC(O)(Cn3cnc4c(cnn4-c4ccc(F)cc4)c3=O)CC2)cc1;IC50;'=';4500.0;nM;5.35;;;UO_0000065;10.88;0.20;2.81;5.22;0;CHEMBL4687433;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;TIME = 2.5 hr
CHEMBL4092976;;0;348.41;0;3.02;GNE-6776;CCc1c(-c2ccc(C(=O)NC)nc2)cnc(N)c1-c1ccc(O)cc1;IC50;'=';1340.0;nM;5.87;;;UO_0000065;16.86;0.31;2.85;5.81;0;CHEMBL4356421;Inhibition of recombinant USP7 (unknown origin) by mass spectrometry based activity assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4354818;1;Scientific Literature;J Med Chem;2020;None;
CHEMBL4755412;;0;526.96;1;2.52;L53;O=C(NO)c1ccc(CN2CCC(O)(Cn3cnc4c(cnn4-c4ccc(F)cc4)c3=O)CC2)c(Cl)c1;IC50;;;;;;Not Determined;;;;;;0;CHEMBL4687433;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;TIME = 2.5 hr
CHEMBL4633860;;0;473.96;0;4.26;26;Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1OCC1(F)CNC1;IC50;'=';1.5;nM;8.82;;;UO_0000065;18.62;0.38;4.56;12.34;0;CHEMBL4605951;Inhibition of recombinant full length USP7 (unknown origin) using ubiquintin-rhodamine as substrate preincubated for 30 mins followed by substrate addition measured after 1 hr by fluorescence-based Envision plate reader assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4602719;1;Scientific Literature;J Med Chem;2020;None;
CHEMBL4638998;;0;509.08;2;5.23;33;Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1NC1CCCNC1;EC50;'=';33.0;nM;7.48;;;UO_0000065;14.70;0.29;2.25;10.07;0;CHEMBL4605954;Inhibition of USP7 in human RKO cells transfected with p53 luciferase reporter vector assessed as increase in p53-dependent luciferase activity measured after 18 hrs by BrightGlo luciferase assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;RKO;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4602719;1;Scientific Literature;J Med Chem;2020;CHEMBL3307731;
CHEMBL4643112;;0;508.09;2;5.61;34;Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5C(C4=O)C5(C)C)sc23)c1CC1CCCNC1;EC50;'=';130.0;nM;6.89;;;UO_0000065;13.55;0.27;1.28;11.05;0;CHEMBL4605954;Inhibition of USP7 in human RKO cells transfected with p53 luciferase reporter vector assessed as increase in p53-dependent luciferase activity measured after 18 hrs by BrightGlo luciferase assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;RKO;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4602719;1;Scientific Literature;J Med Chem;2020;CHEMBL3307731;
CHEMBL4638573;;0;496.03;0;4.81;29;Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)C5CC5C4=O)sc23)c1O[C@@H]1CCNC[C@@H]1C;EC50;'=';170.0;nM;6.77;;;UO_0000065;13.65;0.27;1.96;9.46;0;CHEMBL4605954;Inhibition of USP7 in human RKO cells transfected with p53 luciferase reporter vector assessed as increase in p53-dependent luciferase activity measured after 18 hrs by BrightGlo luciferase assay;B;BAO_0000219;cell-based format;Homo sapiens;None;None;RKO;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4602719;1;Scientific Literature;J Med Chem;2020;CHEMBL3307731;
CHEMBL4640563;;0;455.97;0;4.44;27;Cc1cc(Cl)cc(-c2ccnc3cc(CN4C(=O)CCC4=O)sc23)c1O[C@H]1C[C@H](N)C1;IC50;'=';3.4;nM;8.47;;;UO_0000065;18.57;0.37;4.03;9.90;0;CHEMBL4605951;Inhibition of recombinant full length USP7 (unknown origin) using ubiquintin-rhodamine as substrate preincubated for 30 mins followed by substrate addition measured after 1 hr by fluorescence-based Envision plate reader assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4602719;1;Scientific Literature;J Med Chem;2020;None;
CHEMBL4780764;;0;512.38;1;3.51;L29;O=c1c2cnn(-c3ccc(F)cc3)c2ncn1CC1(O)CCN(Cc2ccc(Br)cc2)CC1;IC50;'=';6700.0;nM;5.17;;;UO_0000065;10.10;0.21;1.66;6.79;0;CHEMBL4687433;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;TIME = 2.5 hr
CHEMBL4743996;;0;491.52;0;2.54;L36;COC(=O)c1cccc(CN2CCC(O)(Cn3cnc4c(cnn4-c4ccc(F)cc4)c3=O)CC2)c1;IC50;;;;;;Not Determined;;;;;;0;CHEMBL4687433;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;TIME = 2.5 hr
CHEMBL4793131;;0;510.96;1;2.50;L51;NC(=O)c1ccc(CN2CCC(O)(Cn3cnc4c(cnn4-c4ccc(F)cc4)c3=O)CC2)c(Cl)c1;Inhibition;;;%;;;Not Active;UO_0000187;;;;;0;CHEMBL4687435;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells at 1 uM using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry relative to control;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;Dose = 1.0 microM | TIME = 2.5 hr
CHEMBL4762640;;0;779.09;1;2.72;L55;COC(=O)c1ccc(CN2CCC(O)(Cn3cnc4c(-c5ccc(CN)cc5)n(C)nc4c3=O)CC2)c(Cl)c1.O=C(O)C(F)(F)F.O=C(O)C(F)(F)F;Inhibition;;;%;;;Dose-dependent effect;UO_0000187;;;;;0;CHEMBL4687473;Inhibition of USP7 in human RS4-11 cells assessed as decrease in MDM2 incubated for 24 hrs by Western blot analysis;B;BAO_0000219;cell-based format;Homo sapiens;None;Blood;RS4-11;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;Dose_Lower = 0.1 microM | Dose_Upper = 1.0 microM | TIME = 24.0 hr
CHEMBL4775984;;0;434.48;0;2.14;L17;O=c1c2cnn(-c3ccc(F)cc3)c2ncn1CC1(O)CCN(Cc2ccncc2)CC1;IC50;;;;;;Not Determined;;;;;;0;CHEMBL4687433;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;TIME = 2.5 hr
CHEMBL4790525;;0;467.93;0;3.40;L27;O=c1c2cnn(-c3ccc(F)cc3)c2ncn1CC1(O)CCN(Cc2ccc(Cl)cc2)CC1;IC50;'=';8000.0;nM;5.10;;;UO_0000065;10.89;0.21;1.70;6.69;0;CHEMBL4687433;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;TIME = 2.5 hr
CHEMBL4740721;;0;469.47;0;3.03;L38;O=c1c2cnn(-c3ccc(F)cc3)c2ncn1CC1(O)CCN(Cc2cc(F)cc(F)c2)CC1;IC50;;;;;;Not Determined;;;;;;0;CHEMBL4687433;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;TIME = 2.5 hr
CHEMBL4776603;;0;535.93;1;4.42;L46;O=c1c2cnn(-c3ccc(F)cc3)c2ncn1CC1(O)CCN(Cc2ccc(Cl)cc2C(F)(F)F)CC1;IC50;;;;;;Not Determined;;;;;;0;CHEMBL4687433;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;TIME = 2.5 hr
CHEMBL4750796;;0;579.06;1;2.90;L54;COC(=O)c1ccc(N2CCC(O)(Cn3cnc4c(-c5ccc(CNC(C)=O)cc5)n(C)nc4c3=O)CC2)c(Cl)c1;IC50;'=';121.3;nM;6.92;;;UO_0000065;11.94;0.23;4.02;5.26;0;CHEMBL4687433;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;TIME = 2.5 hr
CHEMBL4800302;;0;420.45;0;2.15;L1;O=c1c2cnn(-c3ccc(F)cc3)c2ncn1CC1(O)CCN(c2ccccn2)CC1;Inhibition;;;%;;;Not Active;UO_0000187;;;;;0;CHEMBL4687434;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells at 10 uM using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry relative to control;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;Dose = 10.0 microM | TIME = 2.5 hr
CHEMBL4776220;;0;499.34;0;2.91;L6;O=c1c2cnn(-c3ccc(F)cc3)c2ncn1CC1(O)CCN(c2ncccc2Br)CC1;Inhibition;'=';32.0;%;;;;UO_0000187;;;;;0;CHEMBL4687434;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells at 10 uM using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry relative to control;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;Dose = 10.0 microM | TIME = 2.5 hr
CHEMBL4752405;;0;448.46;0;1.96;L10;O=Cc1cccnc1N1CCC(O)(Cn2cnc3c(cnn3-c3ccc(F)cc3)c2=O)CC1;Inhibition;'=';21.9;%;;;;UO_0000187;;;;;0;CHEMBL4687435;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells at 1 uM using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry relative to control;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;Dose = 1.0 microM | TIME = 2.5 hr
CHEMBL4795627;;0;451.48;0;2.89;L24;O=c1c2cnn(-c3ccc(F)cc3)c2ncn1CC1(O)CCN(Cc2ccc(F)cc2)CC1;Inhibition;'=';30.9;%;;;;UO_0000187;;;;;0;CHEMBL4687435;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells at 1 uM using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry relative to control;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;Dose = 1.0 microM | TIME = 2.5 hr
CHEMBL4435850;;0;293.32;0;3.88;C17;NCc1ccc(OC(=O)Oc2ccc3ccccc3c2)cc1;Inhibition;;;%;;;Active;UO_0000187;;;;;0;CHEMBL4372645;Inhibition of USP7 in human MCF7 cells assessed as decrease in Mdm2 expression at 25 uM after 4 hrs by Western blot analysis;B;BAO_0000219;cell-based format;Homo sapiens;None;None;MCF7;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4371052;1;Scientific Literature;Bioorg Med Chem Lett;2019;CHEMBL3308403;
CHEMBL4092976;;0;348.41;0;3.02;27;CCc1c(-c2ccc(C(=O)NC)nc2)cnc(N)c1-c1ccc(O)cc1;Inhibition;;;%;;;Active;UO_0000187;;;;;0;CHEMBL4033117;Inhibition of USP7 in human EOL-1 cells assessed as increase in p53 levels at 1.3 to 5 uM after 4 hrs by Western blot analysis relative to control;B;BAO_0000219;cell-based format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4028910;1;Scientific Literature;J Med Chem;2017;None;
CHEMBL4548694;;0;574.73;1;2.52;XL188;C[C@H](CC(=O)N1CCC(O)(Cn2cnc3cc(NC(=O)CCN4CCN(C)CC4)ccc3c2=O)CC1)c1ccccc1;IC50;'=';90.0;nM;7.05;;;UO_0000065;12.26;0.23;4.53;6.35;0;CHEMBL4356414;Inhibition of human full-length USP7 (1 to 1102 amino acids) expressed in Escherichia coli BL21(DE3) incubated 30 mins by Ubiquitin-AMC assay;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4354818;1;Scientific Literature;J Med Chem;2020;None;
CHEMBL151649;PHENETHYLISOTHIOCYANATE;0;163.24;0;2.33;PEITC;S=C=NCCc1ccccc1;K;;;;;;Not Determined;;;;;;0;CHEMBL4372619;Inhibition of recombinant His6-tagged USP7 catalytic domain (unknown origin) assessed as association constant using Ub-AMC as substrate by fluorescence assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4371052;1;Scientific Literature;Bioorg Med Chem Lett;2019;None;
CHEMBL4280518;;0;490.42;0;3.77;ent-16;C[C@@H](CC(=O)N1CCC(O)(Cn2cnc3c(Br)csc3c2=O)CC1)c1ccccc1;IC50;'=';46000.0;nM;4.34;;;UO_0000065;8.84;0.20;0.57;5.75;0;CHEMBL4255847;Inhibition of USP7 (unknown origin) by biochemical assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4251701;1;Scientific Literature;ACS Med Chem Lett;2018;None;
CHEMBL4284163;;0;476.40;0;3.21;11;O=C(CCc1ccccc1)N1CCC(O)(Cn2cnc3c(Br)csc3c2=O)CC1;IC50;'=';13000.0;nM;4.89;;;UO_0000065;10.26;0.23;1.68;6.48;0;CHEMBL4255847;Inhibition of USP7 (unknown origin) by biochemical assay;B;BAO_0000357;single protein format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4251701;1;Scientific Literature;ACS Med Chem Lett;2018;None;
CHEMBL2432028;;0;152.18;0;0.98;1;O=c1[nH]cnc2sccc12;Activity;;;;;;Active;;;;;;0;CHEMBL4255853;Binding affinity to human N-terminal His6-tagged USP7 catalytic domain (208 to 555 residues) expressed in Escherichia coli at 200 uM by WaterLOGSY NMR method;B;BAO_0000019;assay format;Homo sapiens;None;None;None;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4251701;1;Scientific Literature;ACS Med Chem Lett;2018;None;
CHEMBL4743043;;0;546.83;1;4.16;L42;O=c1c2cnn(-c3ccc(F)cc3)c2ncn1CC1(O)CCN(Cc2ccc(Br)cc2Cl)CC1;IC50;'=';1900.0;nM;5.72;;;UO_0000065;10.46;0.23;1.56;7.51;0;CHEMBL4687433;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;TIME = 2.5 hr
CHEMBL4746327;;0;421.44;0;1.54;L2;O=c1c2cnn(-c3ccc(F)cc3)c2ncn1CC1(O)CCN(c2ncccn2)CC1;Inhibition;;;%;;;Not Active;UO_0000187;;;;;0;CHEMBL4687435;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells at 1 uM using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry relative to control;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;Dose = 1.0 microM | TIME = 2.5 hr
CHEMBL4745422;;0;491.52;0;2.54;L35;COC(=O)c1ccccc1CN1CCC(O)(Cn2cnc3c(cnn3-c3ccc(F)cc3)c2=O)CC1;Inhibition;;;%;;;Not Active;UO_0000187;;;;;0;CHEMBL4687435;Inhibition of recombinant human N-terminal His6-tagged full length USP7 expressed in baculovirus infected Sf21 cells at 1 uM using monoubiquitinated ubiquitin-rhodamine as substrate incubated for 30 mins followed by Ub-Rho addition and measured after 2 hrs by spectrophotometry relative to control;B;BAO_0000219;cell-based format;Homo sapiens;None;None;Sf21;None;;;;CHEMBL2157850;Ubiquitin carboxyl-terminal hydrolase 7;Homo sapiens;SINGLE PROTEIN;CHEMBL4680269;1;Scientific Literature;Eur J Med Chem;2020;None;Dose = 1.0 microM | TIME = 2.5 hr
